"AC","Description","Fortitude","HP","Initiative","Other Abilities","Other Health","Reflex","Senses","Speed","Will","id","name"
"23","Large fey magical beast XP 400 ","21","97","+11","Tentacle (standard; at-will) Reach 2; +13 vs. AC; 1d6 + 4 damage. M Bite (standard; at-will) +13 vs. AC; 1d10 + 4 damage. M Beast's Fury (standard; at-will) Requires combat advantage; the displacer beast makes two tentacle attacks and a bite attack against a single target. Displacement  Illusion All melee and ranged attacks have a 50hance to miss the displacer beast. The effect ends when the displacer beast is hit by an attack, but it recharges as soon as the displacer beast moves 2 or more squares on its turn. Critical hits ignore displacement. (See also shifting tactics.) Shifting Tactics (free, when an attack misses the displacer beast because of its displacement; at-will) The displacer beast shifts 1 square. Threatening Reach The displacer beast can make opportunity attacks against all enemies within its reach (2 squares). Alignment Unaligned Languages -- Skills Stealth +14 Str 18 (+8) Dex 20 (+9) Wis 17 (+7) Con 17 (+7) Int 4 (+1) Cha 10 (+4)","HP 97; Bloodied 48 ","22","Perception +12; low-light vision ","12","20","71",""
"27","Huge fey magical beast XP 1,600 ","28","258","+14","; see also nimble stride Action Points 1Tentacle (standard; at-will) Reach 3; +18 vs. AC; 2d6 + 7 damage. M Bite (standard; at-will) +18 vs. AC; 3d6 + 7 damage. M Beast's Fury (standard; at-will) Requires combat advantage; the displacer beast packlord makes two tentacle attacks and a bite attack against a single target. Displacement  Illusion All melee and ranged attacks have a 50hance to miss the displacer beast packlord. The effect ends when the displacer beast is hit by an attack, but it recharges as soon as the packlord moves 2 or more squares on its turn. Critical hits ignore displacement. (See also superior shifting tactics.) Nimble Stride The displacer beast packlord ignores difficult terrain and speed penalties for squeezing. Superior Shifting Tactics (free, when an attack misses the displacer beast packlord because of its displacement; at-will) The packlord makes a melee basic attack and shifts 1 square. Threatening Reach The displacer beast packlord can make opportunity attacks against all enemies within its reach (3 squares). Alignment Unaligned Languages -- Skills Stealth +17 Str 24 (+13) Dex 23 (+12) Wis 18 (+10) Con 17 (+9) Int 10 (+6) Cha 12 (+7)","HP 258; Bloodied 124 ","26","Perception +15; low-light vision ","12","24","72",""
"18","Medium natural humanoid (shapechanger) XP 150 ","14","45","+6","Short Sword (standard; at-will)  Weapon +8 vs. AC; 1d6 + 3 damage. M Shapeshifter Feint (minor; at-will) +6 vs. Reflex; the doppelganger gains combat advantage against the target until the end of the doppelganger's next turn. Combat Advantage The doppelganger sneak deals an extra 1d6 damage against any target it has combat advantage against. Change Shape (minor; at-will)  Polymorph A doppelganger can alter its physical form to take on the appearance of any Medium humanoid, including a unique individual (see Change Shape, page 280). Alignment Unaligned Languages Common Skills Bluff +10, Insight +9, Stealth +9 Str 11 (+1) Dex 16 (+4) Wis 12 (+2) Con 13 (+2) Int 10 (+1) Cha 15 (+3) Equipment short sword","HP 45; Bloodied 22 ","16","Perception +2 ","6","16","73",""
"23","Medium natural humanoid (shapechanger) XP 350 ","18","69","+13","Dagger (standard; at-will)  Weapon +13 vs. AC; 1d4 + 5 damage. M Shapeshifter Feint (minor; at-will) +11 vs. Reflex; the doppelganger assassin gains combat advantage against the target until the end of the doppelganger assassin's next turn. C Cloud Mind (standard; sustain minor; encounter)  Charm Close burst 5; +11 vs. Will; the doppelganger assassin is invisible to the target. Affected targets are unable to see the doppelganger for as long as it sustains the effect, until the doppelganger attacks, or until it is hit by an attack. Combat Advantage The doppelganger assassin deals an extra 2d6 damage against any target it has combat advantage against. Change Shape (minor; at-will)  Polymorph A doppelganger can alter its physical form to take on the appearance of any Medium humanoid, including a unique individual (see Change Shape, page 280). Alignment Evil Languages Common Skills Bluff +15, Insight +12, Stealth +14 Str 12 (+5) Dex 21 (+9) Wis 12 (+5) Con 15 (+6) Int 13 (+5) Cha 19 (+8) Equipment dagger","HP 69; Bloodied 34 ","21","Perception +10 ","6","21","74",""
"42","Gargantuan natural magical beast (dragon) XP 65,000 ","46","1","+18",", fly 12 (hover), overland flight 15 Action Points 2Gore (standard; at-will)  Lightning Reach 4; +34 vs. AC; 2d8 + 10 plus 2d6 lightning damage, and the target is pushed 3 squares and knocked prone. m Claw (standard; at-will) Reach 4; +32 vs. AC; 2d6 + 10 damage. M Draconic Fury (standard; at-will) The dragon makes a gore attack and two claw attacks. M Wingclap (move; recharge   )  Thunder The dragon flies up to 12 squares and attacks with its wings at the end of its move: reach 4; +34 vs. Fortitude; 3d10 + 8 thunder damage. This attack does not provoke opportunity attacks. R Breath Weapon (standard; recharge   )  Lightning","HP 1,290; Bloodied 645; see also bloodied breath ","40","Perception +23; darkvision ","10","40","75",""
"28","Large natural magical beast (dragon) XP 3,500 ","25","620","+12",", fly 12 (hover), overland flight 15; see also flyby attack Action Points 2Bite (standard; at-will)  Poison Reach 2; +17 vs. AC; 1d10 + 6 damage, and ongoing 5 poison damage (save ends). m Claw (standard; at-will) Reach 2; +17 vs. AC; 1d8 + 6 damage. M Double Attack (standard; at-will) The dragon makes two claw attacks. M Flyby Attack (standard; recharge   ) The dragon flies up to 12 squares and makes a bite attack at any point during the move without provoking an opportunity attack from the target.","HP 620; Bloodied 310; see also bloodied breath ","26","Perception +14; darkvision Lashing Tail aura 1; all creatures other than the dragon treat the area within the aura as difficult terrain. The dragon loses this aura while airborne. ","8","25","76",""
"43","Gargantuan natural magical beast (dragon) XP 55,000 ","39","1","+23",", fly 14 (hover), overland flight 18; see also flyby attack Action Points 2Bite (standard; at-will)  Poison Reach 4; +32 vs. AC; 1d12 + 10 damage plus ongoing 15 poison damage (save ends). m Claw (standard; at-will) Reach 4; +32 vs. AC; 1d10 + 10 damage. M Double Attack (standard; at-will) The dragon makes two claw attacks. M Flyby Attack (standard; recharge   ) The dragon flies up to 14 squares and makes a bite attack at any point during the move without provoking an opportunity attack from the target. M Tail Sweep (immediate reaction, if an adjacent enemy does not move on its turn; at-will) +32 vs. Reflex; 2d12 + 10 damage, and the target is knocked prone. R Luring Glare (minor 1/round; at-will)  Charm, Gaze Ranged 10; +30 vs. Will; the target slides 4 squares.","HP 1,250; Bloodied 625; see also bloodied breath ","41","Perception +22; darkvision Lashing Tail aura 2; all creatures other than the dragon treat the area within the aura as difficult terrain. The dragon loses this aura while airborne. ","10","39","77",""
"40","Huge natural magical beast (dragon) XP 20,750 ","40","1","+19",", fly 10 (hover), overland flight 15 Action Points 2Bite (standard; at-will)  Fire Reach 3; +29 vs. AC; 2d10 + 9 plus 4d6 fire damage. m Claw (standard; at-will) Reach 3; +29 vs. AC; 2d10 + 9 damage. M Double Attack (standard; at-will) The dragon makes two claw attacks. M Tail Strike (immediate reaction, when an enemy moves to a position where it flanks the red dragon; at-will) The dragon attacks the enemy with its tail: reach 3; +27 vs. Reflex; 3d10 + 9 damage, and the target is pushed 2 squares. R Immolate Foe (standard; recharge   )  Fire Ranged 20; +27 vs. Reflex; 3d10 + 8 fire damage, and ongoing 10 fire damage (save ends). C Breath Weapon (standard; recharge   )  Fire Close blast 5; +27 vs. Reflex; 3d12 + 8 fire damage. Miss: Half damage. C Bloodied Breath (free, when first bloodied; encounter)  Fire The dragon's breath weapon recharges automatically, and the dragon uses it immediately. C Frightful Presence (standard; encounter)  Fear","HP 1,050; Bloodied 525; see also bloodied breath ","37","Perception +19; darkvision ","8","34","78",""
"20","Medium natural humanoid XP 200 ","18","63","+6","Longsword (standard; at-will)  Weapon +10 vs. AC (+11 while bloodied); 1d8 + 3 damage. C Dragon Breath (minor; encounter)  Cold Close blast 3; +6 vs. Reflex (+7 while bloodied); 1d6 + 2 cold damage. Dragonborn Fury (only while bloodied) A dragonborn gains a +1 racial bonus to attack rolls. Impetuous Spirit (immediate reaction, when an enemy leaves an adjacent square; at-will)  Weapon The dragonborn soldier makes a melee basic attack against an enemy, even if the enemy is shifting. Martial Recovery (free, when the dragonborn soldier misses with a melee attack; recharges when the soldier uses impetuous spirit)  Weapon The dragonborn soldier makes another melee attack against the same target. Alignment Any Languages Common, Draconic Skills Endurance +9, History +4, Intimidate +8 Str 16 (+5) Dex 15 (+4) Wis 12 (+3) Con 15 (+4) Int 11 (+2) Cha 9 (+1) Equipment scale armor, light shield, longsword","HP 63; Bloodied 31; see also dragonborn fury ","16","Perception +3 ","5","15","79",""
"24","Medium natural humanoid XP 500 ","23","106","+9","Bastard Sword (standard; at-will)  Weapon +15 vs. AC (+16 while bloodied); see also lone fighter ; 1d10 + 5 damage. M Finishing Blow (standard; at-will)  Weapon Target must be bloodied; +15 vs. AC (+16 while bloodied); 2d10 + 5 damage, and the dragonborn gladiator's allies gain a +2 bonus to attack rolls until the end of the dragonborn gladiator's next turn. C Dragon Breath (minor; encounter)  Fire Close blast 3; +12 vs. Reflex (+13 while bloodied); 1d6 + 4 fire damage. Dragonborn Fury (only while bloodied) A dragonborn gains a +1 racial bonus to attack rolls. Gladiator's Strike When the dragonborn gladiator hits an enemy with an opportunity attack, the target is knocked prone. Lone Fighter The dragonborn gladiator gains a +2 bonus to melee attack rolls when adjacent to only one enemy. Alignment Any Languages Common, Draconic Skills Athletics +15, History +7, Intimidate +15 Str 21 (+10) Dex 15 (+7) Wis 12 (+6) Con 18 (+9) Int 10 (+5) Cha 16 (+8) Equipment scale armor, bastard sword","HP 106; Bloodied 53; see also dragonborn fury ","20","Perception +6 ","5","21","80",""
"27","Medium natural humanoid XP 800 ","23","129","+13","Katar (standard; at-will)  Weapon +19 vs. AC (+20 while bloodied); 1d6 + 4 damage (crit 2d6 + 10). M Twin Katar Strike (standard; at-will)  Weapon If the dragonborn raider doesn't take a move action on its turn, it shifts 1 square and makes two katar attacks, or vice versa. C Dragon Breath (minor; encounter)  Acid Close blast 3; +14 vs. Reflex (+15 while bloodied); 1d6 + 3 acid damage. Combat Advantage The dragonborn raider deals an extra 1d6 damage on melee and ranged attacks against any target it has combat advantage against. Dragonborn Fury (only while bloodied) A dragonborn gains a +1 racial bonus to attack rolls. Infiltrating Stride (move; recharges after the dragonborn raider attacks two different enemies with twin katar strike) The dragonborn raider shifts 3 squares. Alignment Any Languages Common, Draconic Skills History +8, Intimidate +9, Stealth +16 Str 18 (+10) Dex 21 (+11) Wis 14 (+8) Con 17 (+9) Int 10 (+6) Cha 12 (+7) Equipment leather armor, 2 katars","HP 129; Bloodied 64; see also dragonborn fury ","24","Perception +13 ","7","21","81",""
"42","Medium natural humanoid XP 9,000 ","42","239","+20",", fly 8 (clumsy)Bastard Sword (standard; at-will)  Weapon +31 vs. AC (+32 while bloodied); 2d10 + 9 damage, and the dragonborn champion makes a secondary attack against the same target. Secondary Attack: +29 vs. Fortitude (+30 while bloodied); the target is stunned until the end of the dragonborn champion's next turn and knocked prone. C Furious Blade (free, when first bloodied; encounter)  Weapon Requires bastard sword; close burst 1; targets enemies; +32 vs. AC (includes the bonus for dragonborn fury); 2d10 + 9 damage. C Dragon Breath (minor; encounter)  Lightning Close blast 3; +27 vs. Reflex (+28 while bloodied); 2d6 + 6 lightning damage. Dragonborn Fury (only while bloodied) A dragonborn gains a +1 racial bonus to attack rolls. No Remorse The dragonborn champion deals an extra 2d10 damage on melee attacks against a prone target.","HP 239; Bloodied 119; see also dragonblood fury and furious blade ","40","Perception +16 ","5","41","82",""
"25","Large natural beast (reptile) XP 700 ","25","97","+7","Bite (standard; at-will)  Fire +16 vs. AC; 1d10 + 4 damage, and ongoing 5 fire damage (save ends). R Fire Belch (standard; at-will)  Fire Ranged 12; +15 vs. Reflex; 2d6 + 1 damage, and ongoing 5 fire damage (save ends). A Fire Burst (standard; recharge   )  Fire Area burst 2 within 10; +15 vs. Reflex; 3d6 + 1 damage, and ongoing 5 fire damage (save ends). Miss: Half damage, and no ongoing fire damage. Alignment Unaligned Languages -- Str 18 (+10) Dex 13 (+7) Wis 13 (+6) Con 19 (+10) Int 2 (+2) Cha 8 (+5)","HP 97; Bloodied 48 ","22","Perception +6; low-light vision Fire Within (Fire) aura 5; allies in the aura gain resist 10 fire. ","4","21","83",""
"30","Large natural beast (reptile) XP 1,400 ","26","120","+19",", climb 8 (spider climb); see alsobile melee attack m Bite (standard; at-will)  Acid +21 vs. AC; 2d10 + 6 damage, and ongoing 5 acid damage (save ends). M Goring Charge (standard; at-will) The blackspawn gloomweb makes a charge attack; +21 vs. Fortitude; 2d8 + 7 damage, the target is knocked prone, and the blackspawn gloomweb makes a bite attack against the same target. M Mobile Melee Attack (standard; at-will) The blackspawn gloomweb can move up to half its speed and make one melee basic attack at any point during that movement. The creature doesn't provoke opportunity attacks when moving away from the target of its attack. R Acidic Web (standard; at-will)  Acid Ranged 10; +20 vs. Reflex; the target takes ongoing 10 acid damage and is restrained (save ends both). Gloom If the blackspawn gloomweb does not move on its turn, the shadows that constantly swirl around its form settle into a cloudlike mass that grants concealment until the beginning of its next turn. Alignment Unaligned Languages -- Skills Stealth +20 Str 22 (+14) Dex 24 (+15) Wis 10 (+8) Con 18 (+12) Int 2 (+4) Cha 8 (+7)","HP 120; Bloodied 60 ","27","Perception +8; darkvision ","8","20","84",""
"36","Huge natural humanoid (reptile) XP 8,300 ","36","510","+15"," Action Points 1Greatsword (standard; at-will)  Lightning , Weapon Reach 3; +26 vs. AC; 4d6 + 9 damage plus 2d8 lightning damage; see also slayer. M Awesome Blow (standard; at-will)  Lightning , Weapon The godslayer makes a greatsword attack. If the attack hits, it makes a secondary attack against the same target. Secondary Attack: +26 vs. Fortitude; the target is pushed 3 squares and knocked prone. M Bite (standard; at-will)  Lightning Reach 2; +24 vs. AC; 1d10 + 7 damage plus 2d8 lightning damage; see also slayer. Slayer The bluespawn godslayer deals +10 damage against dragons, dragonborn, and immortals. Alignment Evil Languages Draconic Str 28 (+20) Dex 19 (+15) Wis 22 (+17) Con 25 (+18) Int 10 (+11) Cha 16 (+15) Equipment heavy shield, greatsword","HP 510; Bloodied 255 ","31","Perception +17; low-light vision ","8","33","85",""
"26","Large fey humanoid (spider) XP 1,000 ","27","172","+12",", climb 8 (spider climb)Greatsword (standard; at-will)  Weapon +19 vs. AC; 1d12 + 7 damage. M Quick Bite (minor; at-will)  Poison Requires combat advantage; +16 vs. Fortitude; 1d4 damage, and ongoing 10 poison damage (save ends). R Darkfire (minor; encounter) Ranged 10; +16 vs. Reflex; until the end of the drider's next turn, the target grants combat advantage to all attackers, and the target cannot benefit from invisibility or concealment. R Web (standard; recharge    ) Ranged 5; +15 vs. Reflex; the target is restrained (until escape). Escaping from the web requires a successful DC 25 Acrobatics check or DC 27 Athletics check. Alignment Evil Languages Elven Skills Dungeoneering +15, Stealth +17 Str 24 (+14) Dex 21 (+12) Wis 16 (+10) Con 22 (+13) Int 13 (+8) Cha 9 (+6) Equipment leather armor, greatsword","HP 172; Bloodied 86 ","25","Perception +15; darkvision ","8","23","86",""
"28","Large fey humanoid (spider) XP 1,000 ","25","134","+12",", climb 8 (spider climb)Short Sword (standard; at-will)  Necrotic , Weapon +19 vs. AC; 1d8 + 3 plus 2d6 necrotic damage; see also melee agility. R Slashing Darkness (standard; at-will)  Necrotic Ranged 5; +17 vs. Reflex; 3d8 + 3 necrotic damage. R Web (standard; recharge    ) Ranged 5; +17 vs. Reflex; the target is restrained (until escape). Escaping from the web requires a successful DC 26 Acrobatics check or DC 25 Athletics check. C Cloud of Darkness (minor; encounter) Close burst 1; this power creates a cloud of darkness that remains in place until the end of the drider shadowspinner's next turn. The cloud blocks line of sight for all creatures except the shadowspinner. Any creature entirely within the cloud (except the shadowspinner) is blinded until it exits. Combat Advantage The drider shadowspinner deals an extra 2d6 necrotic damage on melee and ranged attacks against any target it has combat advantage against. Melee Agility (free, when the drider shadowspinner hits with a melee attack; at-will) The drider shadowspinner shifts 1 square. Shifting Shadows If a drider shadowspinner moves at least 3 squares on its turn and ends its move 3 squares away from its previous position, it gains concealment until the end of its next turn. Alignment Evil Languages Elven Skills Dungeoneering +14, Stealth +15 Str 13 (+8) Dex 17 (+10) Wis 14 (+9) Con 14 (+9) Int 12 (+8) Cha 17 (+10) Equipment leather armor, short sword","HP 134; Bloodied 67 ","26","Perception +14; darkvision ","8","26","87",""
"26","Medium fey humanoid XP 800 ","22","94","+8","Spider Rod (standard; at-will) +16 vs. AC; 1d6 damage, and the target is immobilized (save ends); see also Lolth's judgment. R Venom Ray (standard; at-will)  Poison Ranged 10; +18 vs. Reflex; 2d8 + 3 poison damage, and ongoing 5 poison damage (save ends); see also Lolth's judgment. A Lolth's Grasp (standard; encounter)  Necrotic, Zone Area burst 4 within 10; webs full of spectral spiders cover the zone (drow and spiders are immune); +16 vs. Reflex; the target is restrained (save ends). The zone is difficult terrain until the end of the encounter. Any creature that starts its turn in the zone takes 10 necrotic damage. R Spider Curse (standard; encounter)  Necrotic Spectral spiders swarm over and bite the target: ranged 20; +16 vs. Will; 1d6 + 7 necrotic damage, and the target takes ongoing 5 necrotic damage and is weakened (save ends both); see also Lolth's judgment. C Venom Blast (standard; encounter)  Poison Close blast 5; +14 vs. Fortitude; 2d6 + 10 poison damage. Miss: Half damage. C Cloud of Darkness (minor; encounter) Close burst 1; this power creates a cloud of darkness that remains in place until the end of the drow arachnomancer's next turn. The cloud blocks line of sight for all creatures except the drow arachnomancer. Any creature entirely within the cloud (except the drow arachnomancer) is blinded until it exits. Lolth's Judgment (free, when the arachnomancer hits a target with a melee or a ranged attack; at-will) All spider allies within 20 squares of the arachnomancer gain a +2 bonus to attack rolls against the target until the end of the arachnomancer's next turn. Alignment Evil Languages Common, Elven Skills Arcana +14, Dungeoneering +13, Intimidate +8, Stealth +10 Str 10 (+6) Dex 15 (+8) Wis 14 (+8) Con 10 (+6) Int 16 (+9) Cha 11 (+6) Equipment robes, spider rod","HP 94; Bloodied 47 ","24","Perception +13; darkvision ","7","24","88",""
"30","Medium fey humanoid XP 1,600 ","25","248","+13"," Action Points 1Longsword (standard; at-will)  Weapon +19 vs. AC; 1d8 + 5 damage. m Short Sword (standard; at-will)  Weapon +19 vs. AC; 1d6 + 5 damage. M Blade Mastery (standard; at-will)  Weapon The drow blademaster makes one longsword attack and one short sword attack.","HP 248; Bloodied 124 ","28","Perception +12; darkvision ","6","24","89",""
"28","Medium fey humanoid XP 1,200 ","24","139","+9","Mace (standard; at-will)  Weapon +18 vs. AC; 1d8 + 1 damage. m Bite of the Spider (standard; only while bloodied; at-will) +17 vs. AC; 2d6 + 6 damage. R Pain Web (standard; at-will)  Necrotic Ranged 5; +18 vs. Reflex; 1d6 + 5 necrotic damage, and the target is immobilized and weakened (save ends both). R Darkfire (minor; encounter) Ranged 10; +18 vs. Reflex; until the end of the drow priest's next turn, the target grants combat advantage to all attacks, and the target cannot benefit from invisibility or concealment. A Lolth's Wrath (standard; recharge  )  Necrotic Area burst 5 centered on a bloodied and willing drow ally; the ally explodes, releasing a burst of spectral spiders that bite all enemies in range; +20 vs. Reflex; 4d8 + 5 necrotic damage. The drow targeted by this power is slain. Spider Link (minor; at-will)  Healing The drow priest can transfer up to 22 points of damage she has taken to a spider or a drow within 5 squares of her. She cannot transfer more hit points than the creature has remaining. Alignment Evil Languages Abyssal, Common, Elven Skills Bluff +17, Insight +17, Intimidate +19, Religion +15, Stealth +10 Str 12 (+8) Dex 15 (+9) Wis 21 (+12) Con 11 (+7) Int 16 (+10) Cha 20 (+12) Equipment chainmail, mace","HP 139; Bloodied 69; see also spider link ","26","Perception +12; darkvision Lolth's Authority aura sight; drow and spider allies in the aura gain a +1 bonus to attack rolls and a +2 bonus to damage rolls. ","7","28","90",""
"23","Medium fey humanoid (plant) XP 400 ","22","92","+9"," (forest walk)Claws (standard; at-will) +14 vs. AC; 1d8 + 4 damage, or 1d8 + 9 damage if the target is the only enemy adjacent to the dryad. Deceptive Veil (minor; at-will)  Illusion The dryad can disguise itself to appear as any Medium humanoid, usually a beautiful elf or eladrin. A successful Insight check (opposed by the dryad's Bluff check) pierces the disguise. Treestride (move; at-will)  Teleportation The dryad can teleport 8 squares if it begins and ends adjacent to a tree, a treant, or a plant of Large size or bigger. Alignment Unaligned Languages Elven Skills Bluff +10, Insight +12, Stealth +12 Str 19 (+8) Dex 17 (+7) Wis 17 (+7) Con 12 (+5) Int 10 (+4) Cha 13 (+5)","HP 92; Bloodied 46 ","21","Perception +12 ","8","21","91",""
"29","Medium fey humanoid (plant) XP 1,600 ","27","262","+8"," (forest walk) Action Points 1Claws (standard; at-will) +18 vs. AC; 1d8 + 3 damage. R Briar Cage (standard; at-will) Ranged 10; the target is encased in sharp briars; +16 vs. Reflex; 1d6 + 4 damage, and the target takes ongoing 5 damage and is restrained (save ends both). A creature in a briar cage has cover. A briar cage can be destroyed (25 hit points; resist 10 to all damage). Deceptive Veil (minor; at-will)  Illusion The briar witch dryad can disguise itself to appear as any Medium humanoid, usually a beautiful elf or eladrin. A successful Insight check (opposed by the dryad's Bluff check) pierces the disguise. Thorny Body Any creature that grabs the briar witch dryad takes 5 damage at the start of its turn. Treestride (move; at-will)  Teleportation The briar witch dryad can teleport 8 squares if it begins and ends adjacent to a tree, a treant, or a plant of Large size or bigger. Alignment Unaligned Languages Elven Skills Bluff +15, Insight +13, Stealth +13 Str 16 (+9) Dex 14 (+8) Wis 14 (+8) Con 19 (+10) Int 11 (+6) Cha 19 (+10)","HP 262; Bloodied 131 ","25","Perception +13 Curse of Thorns aura 3; enemies without forest walk take 2 damage each time they move--or are pulled, pushed, or slid--into a square within the aura. Creatures do not take damage when a briar witch dryad moves closer to them. Thorn Boon aura 6; allied plants in the aura deal an extra 5 damage with each melee attack. ","8","27","92",""
"17","Medium natural humanoid XP 175 ","16","46","+5","Warhammer (standard; at-will)  Weapon +8 vs. AC; 1d10 + 2 damage. R Crossbow (standard; at-will)  Weapon Ranged 15/30; +10 vs. AC; 1d8 + 3 damage. Aimed Shot The dwarf bolter gains a +2 bonus to attack rolls and deals an extra 1d6 damage with ranged attacks against creatures that don't have cover. Stand Your Ground When an effect forces a dwarf to move--through a pull , a push, or a slide--the dwarf moves 1 square less than the effect specifies. When an attack would knock the dwarf prone, the dwarf can roll a saving throw to avoid falling prone. Alignment Unaligned Languages Common, Dwarven Skills Dungeoneering +10, Endurance +7 Str 14 (+4) Dex 16 (+5) Wis 12 (+3) Con 16 (+5) Int 11 (+2) Cha 10 (+2) Equipment chainmail, warhammer, crossbow with 20 bolts","HP 46; Bloodied 23 ","16","Perception +8; low-light vision ","5","14","93",""
"23","Medium natural humanoid XP 200 ","18","64","+4","Warhammer (standard; at-will)  Weapon +11 vs. AC; 1d10 + 3 damage. M Shield Bash (minor; recharge   ) +9 vs. Fortitude; 2d6 + 3 damage, and the target is knocked prone or pushed 1 square (dwarf hammerer's choice). R Throwing Hammer (standard; at-will)  Weapon Ranged 5/10; +10 vs. AC; 1d6 + 3 damage. Stubborn (immediate interrupt, when an enemy tries to push it or knock it prone; at-will) The hammerer makes a melee basic attack against the enemy. Stand Your Ground When an effect forces a dwarf to move--through a pull, a push, or a slide--the dwarf moves 1 square less than the eff ect specifies. When an attack would knock the dwarf prone, the dwarf can roll a saving throw to avoid falling prone. Alignment Any Languages Common, Dwarven Skills Dungeoneering +11, Endurance +5 Str 17 (+5) Dex 10 (+2) Wis 14 (+4) Con 16 (+5) Int 11 (+2) Cha 12 (+3) Equipment plate armor, heavy shield, warhammer, 3 throwing hammers","HP 64; Bloodied 32 ","15","Perception +4; low-light vision ","5","17","94",""
"38","Large elemental humanoid (fire) XP 4,150 ","37","206","+18",", fly 8 (hover)Scimitar (standard; at-will)  Weapon Reach 2; +27 vs. AC; 2d10 + 7 damage (crit 6d10 + 27), and the target is marked until the end of the efreet fireblade's next turn. R Hurl Scimitar (standard; recharge    )  Weapon The efreet fireblade hurls its scimitar at two targets; the first target must be within 10 squares of the efreet fireblade, and the second target within 5 squares of the first target; +25 vs. AC; 2d10 + 7 damage (crit 6d10 + 27), and the target is marked until the end of the efreet fireblade's next turn. The scimitar returns to the fireblade's hand after the attacks are made. C Whirling Firesteel Strike (standard; recharge   )  Fire, Weapon Requires scimitar; close burst 2; +25 vs. AC; 2d10 + 7 damage (crit 6d10 + 27), and the target is pushed 1 square and takes ongoing 10 fire damage (save ends). Alignment Evil Languages Primordial Skills Bluff +20, Insight +17, Intimidate +20 Str 24 (+17) Dex 22 (+16) Wis 15 (+12) Con 22 (+16) Int 18 (+14) Cha 18 (+15) Equipment scimitar","HP 206; Bloodied 153 ","36","Perception +17 ","6","34","95",""
"36","Large elemental humanoid (fire) XP 5,100 ","33","169","+19",", fly 8 (hover)Scimitar (standard; at-will)  Fire , Weapon Reach 2; +25 vs. AC; 2d10 + 7 damage (crit 6d10 + 27), and ongoing 5 fire damage (save ends). R Fire Bolt (standard; at-will)  Fire , Weapon Ranged 10; +28 vs. AC; 2d6 + 8 fire damage, and ongoing 5 fire damage (save ends). R Curse of the Efreet (standard; encounter; recharges when first bloodied)  Fire Ranged 10; +28 vs. AC; 1d6 + 8 fire damage, and ongoing 10 fire damage (save ends), and the target's resistance to fire is negated until the end of the encounter (no save). R Fan the Flames (standard; at-will)  Fire Ranged 20; only affects a target taking ongoing fire damage; automatic hit; the target takes 3d6 fire damage, and the efreet makes a secondary attack against all creatures adjacent to the target. Secondary Attack: Area burst 2 centered on target; +17 vs. Reflex; 2d6 fire damage. Miss: Half damage. Fiery Shield (immediate interrupt, when the efreet cinderlord is damaged by a ranged attack; at-will)  Fire A fiery shield springs into being, halving the damage of the attack. Alignment Evil Languages Primordial Skills Bluff +22, Insight +20, Intimidate +22 Str 24 (+18) Dex 27 (+19) Wis 18 (+15) Con 25 (+18) Int 16 (+14) Cha 22 (+17) Equipment scimitar","HP 169; Bloodied 84; see also curse of the efreet ","34","Perception +15 Blazing Soul (Fire) aura 1; any creature in the aura taking ongoing fire damage takes 5 extra ongoing fire damage. ","6","32","96",""
"37","Large elemental humanoid (fire) XP 5,100 ","36","217","+20",", fly 8 (hover); see also fiery teleportScimitar (standard; at-will)  Fire , Weapon Reach 2; +28 vs. AC; 2d10 + 8 damage (crit 6d10 + 28), and ongoing 5 fire damage (save ends). R Fiery Grasp (standard; at-will)  Fire Ranged 20; a fiery hand appears and grabs the target; +25 vs. Reflex; 1d6 + 8 fire damage, and the target takes ongoing 10 fire damage and is immobilized (save ends both). Fiery Teleport (move; at-will)  Teleportation The flamestrider can teleport 20 squares, reappearing in a puff of smoke; its destination must be adjacent to a fire creature or a fire. Alignment Evil Languages Primordial Skills Bluff +22, Insight +20, Intimidate +22 Str 27 (+19) Dex 24 (+18) Wis 18 (+15) Con 25 (+18) Int 16 (+14) Cha 22 (+17) Equipment scimitar","HP 217; Bloodied 108 ","35","Perception +15 Blazing Soul (Fire) aura 1; any creature in the aura taking ongoing fire damage takes 5 extra ongoing fire damage. ","6","34","97",""
